อาการ,คะแนน,ข้อความแสดงผล,ข้อความเสียงพูด
"3. ความเหนื่อยล้า/อ่อนเพลีย (Tiredness)",6,"เหนื่อยล้ามาก ต้องนอนพักเป็นส่วนใหญ่ 😐","ระดับหก เหนื่อยล้ามาก ต้องนอนพักผ่อนเป็นส่วนใหญ่ค่ะ"
"3. ความเหนื่อยล้า/อ่อนเพลีย (Tiredness)",7,"อ่อนเพลียรุนแรง ทำกิจวัตรลำบาก 😟","ระดับเจ็ด อ่อนเพลียรุนแรง ทำกิจวัตรประจำวันลำบากค่ะ"
"3. ความเหนื่อยล้า/อ่อนเพลีย (Tiredness)",8,"เหนื่อยล้ารุนแรงมาก ลุกออกจากเตียงยาก 😟","ระดับแปด เหนื่อยล้ารุนแรงมาก ลุกออกจากเตียงลำบากค่ะ"
"3. ความเหนื่อยล้า/อ่อนเพลีย (Tiredness)",9,"อ่อนเพลียรุนแรงแทบขยับตัวไม่ไหว 🚨","ระดับเก้า อ่อนเพลียรุนแรงแทบขยับตัวไม่ไหวค่ะ"
"3. ความเหนื่อยล้า/อ่อนเพลีย (Tiredness)",10,"อ่อนเพลียรุนแรงที่สุด หมดแรงโดยสิ้นเชิง 🚨","ระดับสิบ อ่อนเพลียรุนแรงที่สุด หมดแรงโดยสิ้นเชิงค่ะ"
"4. ความง่วงซึม (Drowsiness)",0,"ตื่นตัวดี สดชื่น ไม่ง่วงเลย 😊","ระดับศูนย์ ตื่นตัวดี สดชื่น ไม่ง่วงเลยค่ะ"
"4. ความง่วงซึม (Drowsiness)",1,"ง่วงนอนเล็กน้อยตามเวลาพักผ่อน 👍","ระดับหนึ่ง ง่วงนอนเล็กน้อยตามเวลาพักผ่อนค่ะ"
"4. ความง่วงซึม (Drowsiness)",2,"ตาปรือเล็กน้อย ยังสื่อสารได้ดี 👍","ระดับสอง ตาปรือเล็กน้อย ยังพูดคุยสื่อสารได้ดีค่ะ"
"4. ความง่วงซึม (Drowsiness)",3,"ง่วงซึมเล็กน้อย อยากหลับพักสายตา 👍","ระดับสาม ง่วงซึมเล็กน้อย อยากหลับพักสายตาค่ะ"
"4. ความง่วงซึม (Drowsiness)",4,"ง่วงซึมปานกลาง สัปหงกเป็นระยะ 😐","ระดับสี่ ง่วงซึมปานกลาง สัปหงกเป็นระยะค่ะ"
"4. ความง่วงซึม (Drowsiness)",5,"เคลิ้มหลับบ่อย ตอบคำถามช้าลง 😐","ระดับห้า เคลิ้มหลับบ่อย ตอบคำถามช้าลงค่ะ"
"4. ความง่วงซึม (Drowsiness)",6,"ง่วงซึมมาก สะลึมสะลือตลอดเวลา 😐","ระดับหก ง่วงซึมมาก สะลึมสะลือตลอดเวลาค่ะ"
"4. ความง่วงซึม (Drowsiness)",7,"หลับเป็นส่วนใหญ่ เรียกชื่อแล้วตื่น 😟","ระดับเจ็ด หลับเป็นส่วนใหญ่ แต่เมื่อเรียกชื่อยังตื่นขึ้นมาได้ค่ะ"
"4. ความง่วงซึม (Drowsiness)",8,"ง่วงซึมรุนแรง ต้องสะกิดปลุกถึงจะตื่น 😟","ระดับแปด ง่วงซึมรุนแรง ต้องสะกิดปลุกถึงจะรู้สึกตัวค่ะ"
"4. ความง่วงซึม (Drowsiness)",9,"ซึมมาก ปลุกตื่นยาก สื่อสารได้น้อย 🚨","ระดับเก้า ซึมมาก ปลุกตื่นยาก สื่อสารได้น้อยค่ะ"
"4. ความง่วงซึม (Drowsiness)",10,"ง่วงซึมรุนแรงที่สุด นอนปลุกไม่ตื่น 🚨","ระดับสิบ ง่วงซึมรุนแรงที่สุด นอนปลุกไม่ตื่นค่ะ"
"5. อาการคลื่นไส้ (Nausea)",0,"ไม่รู้สึกคลื่นไส้เลย สบายท้องดี 😊","ระดับศูนย์ ไม่รู้สึกคลื่นไส้เลย สบายท้องดีค่ะ"
"5. อาการคลื่นไส้ (Nausea)",1,"พะอืดพะอมเล็กน้อย ไม่กระทบการทาน 👍","ระดับหนึ่ง พะอืดพะอมเล็กน้อย ไม่กระทบการรับประทานค่ะ"
"5. อาการคลื่นไส้ (Nausea)",2,"คลื่นไส้เล็กน้อยเมื่อได้กลิ่นอาหาร 👍","ระดับสอง คลื่นไส้เล็กน้อยเมื่อได้กลิ่นอาหารค่ะ"
"5. อาการคลื่นไส้ (Nausea)",3,"มวนท้องเล็กน้อย ยังจิบน้ำได้ 👍","ระดับสาม มวนท้องเล็กน้อย ยังจิบน้ำหรือทานได้บ้างค่ะ"
"5. อาการคลื่นไส้ (Nausea)",4,"คลื่นไส้ปานกลาง เริ่มทานได้น้อยลง 😐","ระดับสี่ คลื่นไส้ปานกลาง เริ่มทานได้น้อยลงค่ะ"
"5. อาการคลื่นไส้ (Nausea)",5,"คลื่นไส้ปานกลาง อยากขอยาแก้คลื่นไส้ 😐","ระดับห้า คลื่นไส้ปานกลาง แนะนำจิบน้ำอุ่นหรือรับยาแก้คลื่นไส้ค่ะ"
"5. อาการคลื่นไส้ (Nausea)",6,"คลื่นไส้มาก มีอาการขย้อนเป็นระยะ 😐","ระดับหก คลื่นไส้มาก มีอาการขย้อนเป็นระยะค่ะ"
"5. อาการคลื่นไส้ (Nausea)",7,"คลื่นไส้รุนแรง อาเจียน 1-2 ครั้ง 😟","ระดับเจ็ด คลื่นไส้รุนแรง อาเจียน 1 ถึง 2 ครั้งค่ะ"
"5. อาการคลื่นไส้ (Nausea)",8,"คลื่นไส้รุนแรงมาก อาเจียนหลายครั้ง ทานไม่ได้ 😟","ระดับแปด คลื่นไส้รุนแรงมาก อาเจียนหลายครั้ง ทานไม่ได้ค่ะ"
"5. อาการคลื่นไส้ (Nausea)",9,"คลื่นไส้รุนแรง จิบน้ำก็อาเจียนออก 🚨","ระดับเก้า คลื่นไส้รุนแรง แม้จิบน้ำก็อาเจียนออกค่ะ"
"5. อาการคลื่นไส้ (Nausea)",10,"คลื่นไส้อาเจียนรุนแรงที่สุด ทานอะไรไม่ได้เลย 🚨","ระดับสิบ คลื่นไส้อาเจียนรุนแรงที่สุด ทานอะไรไม่ได้เลยค่ะ"
"6. ความอยากอาหาร (Appetite)",0,"อยากอาหารปกติ ทานได้อร่อยดี 😊","ระดับศูนย์ อยากอาหารปกติ รับประทานได้อร่อยดีค่ะ"
"6. ความอยากอาหาร (Appetite)",1,"เบื่ออาหารเล็กน้อย ยังทานได้เกือบหมด 👍","ระดับหนึ่ง เบื่ออาหารเล็กน้อย ยังทานได้เกือบหมดค่ะ"
"6. ความอยากอาหาร (Appetite)",2,"ทานได้น้อยลงเล็กน้อย 👍","ระดับสอง รับประทานได้น้อยลงเล็กน้อยค่ะ"
"6. ความอยากอาหาร (Appetite)",3,"เบื่ออาหารเล็กน้อย เลือกทานเฉพาะที่ชอบ 👍","ระดับสาม เบื่ออาหารเล็กน้อย เลือกทานเฉพาะสิ่งที่ชอบค่ะ"
"6. ความอยากอาหาร (Appetite)",4,"เบื่ออาหารปานกลาง ทานได้ครึ่งจาน 😐","ระดับสี่ เบื่ออาหารปานกลาง ทานได้ประมาณครึ่งจานค่ะ"
"6. ความอยากอาหาร (Appetite)",5,"ทานได้น้อยลงครึ่งหนึ่งของปกติ 😐","ระดับห้า รับประทานอาหารได้น้อยลงครึ่งหนึ่งของปกติค่ะ"
"6. ความอยากอาหาร (Appetite)",6,"เบื่ออาหารมาก ทานได้เพียงไม่กี่คำ 😐","ระดับหก เบื่ออาหารมาก รับประทานได้เพียงไม่กี่คำค่ะ"
"6. ความอยากอาหาร (Appetite)",7,"ทานอาหารแข็งไม่ได้ ได้เฉพาะน้ำซุป 😟","ระดับเจ็ด ทานอาหารแข็งไม่ได้ ได้เฉพาะน้ำซุปอ่อนๆ ค่ะ"
"6. ความอยากอาหาร (Appetite)",8,"เบื่ออาหารรุนแรงมาก จิบได้เฉพาะน้ำ 😟","ระดับแปด เบื่ออาหารรุนแรงมาก จิบได้เฉพาะน้ำเปล่าหรือนมค่ะ"
"6. ความอยากอาหาร (Appetite)",9,"ไม่ยอมทานอาหารเลย ทานได้แต่น้ำจิบ 🚨","ระดับเก้า ไม่ยอมทานอาหารเลย ทานได้แต่น้ำจิบนิดหน่อยค่ะ"
"6. ความอยากอาหาร (Appetite)",10,"เบื่ออาหารรุนแรงที่สุด ปฏิเสธอาหารและน้ำ 🚨","ระดับสิบ เบื่ออาหารรุนแรงที่สุด ปฏิเสธการรับประทานอาหารและน้ำค่ะ"
"7. ความรู้สึกซึมเศร้า (Depression)",0,"อารมณ์ดี แจ่มใส มีกำลังใจดี 😊","ระดับศูนย์ สุขภาพจิตดี อารมณ์แจ่มใสมีกำลังใจดีค่ะ"
"7. ความรู้สึกซึมเศร้า (Depression)",1,"เศร้าหรือกังวลเล็กน้อยบางช่วง 👍","ระดับหนึ่ง รู้สึกเศร้าหรือกังวลเล็กน้อยบางช่วงเวลาค่ะ"
"7. ความรู้สึกซึมเศร้า (Depression)",2,"จิตใจดรอปเล็กน้อย ยังพูดคุยยิ้มได้ 👍","ระดับสอง สุขภาพจิตดรอปเล็กน้อย ยังพูดคุยยิ้มแย้มได้ค่ะ"
"7. ความรู้สึกซึมเศร้า (Depression)",3,"รู้สึกหงอยๆ เล็กน้อย ต้องการคนคุยด้วย 👍","ระดับสาม รู้สึกหงอยเล็กน้อย ต้องการคนพูดคุยให้กำลังใจค่ะ"
"7. ความรู้สึกซึมเศร้า (Depression)",4,"ซึมเศร้าปานกลาง เริ่มเงียบขรึม 😐","ระดับสี่ ซึมเศร้าปานกลาง เริ่มเงียบขรึมและพูดน้อยลงค่ะ"
"7. ความรู้สึกซึมเศร้า (Depression)",5,"รู้สึกท้อแท้ปานกลาง ไม่ค่อยสนใจสิ่งรอบตัว 😐","ระดับห้า รู้สึกท้อแท้ปานกลาง ไม่ค่อยสนใจสิ่งรอบตัวค่ะ"
"7. ความรู้สึกซึมเศร้า (Depression)",6,"เศร้าหมองมาก ร้องไห้บางครั้ง 😐","ระดับหก รู้สึกเศร้าหมองมาก ร้องไห้บางเวลาค่ะ"
"7. ความรู้สึกซึมเศร้า (Depression)",7,"ซึมเศร้ารุนแรง ไม่อยากพบเจอใคร 😟","ระดับเจ็ด ซึมเศร้ารุนแรง ไม่อยากพูดคุยหรือพบเจอใครค่ะ"
"7. ความรู้สึกซึมเศร้า (Depression)",8,"ท้อแท้รุนแรงมาก รู้สึกสิ้นหวัง 😟","ระดับแปด รู้สึกท้อแท้รุนแรงมาก สิ้นหวังและหมดกำลังใจค่ะ"
"7. ความรู้สึกซึมเศร้า (Depression)",9,"เศร้าหดหู่รุนแรงอย่างมาก ปิดตัวเอง 🚨","ระดับเก้า รู้สึกเศร้าหดหู่รุนแรงอย่างมาก ปิดตัวเองค่ะ"
"7. ความรู้สึกซึมเศร้า (Depression)",10,"ซึมเศร้าท้อแท้รุนแรงที่สุด 🚨","ระดับสิบ ซึมเศร้าท้อแท้รุนแรงที่สุด ต้องการการดูแลจิตใจด่วนค่ะ"
"8. ความวิตกกังวล (Anxiety)",0,"รู้สึกสงบ ปลอดภัย ไม่กังวลเลย 😊","ระดับศูนย์ รู้สึกสงบ ปลอดภัย ไม่กังวลเลยค่ะ"
"8. ความวิตกกังวล (Anxiety)",1,"กังวลเล็กน้อยเรื่องอาการ 👍","ระดับหนึ่ง มีความกังวลเล็กน้อยเรื่องอาการค่ะ"
"8. ความวิตกกังวล (Anxiety)",2,"วิตกกังวลเล็กน้อย ยังผ่อนคลายได้ 👍","ระดับสอง วิตกกังวลเล็กน้อย ยังผ่อนคลายได้ค่ะ"
"8. ความวิตกกังวล (Anxiety)",3,"คิดมากเล็กน้อยเกี่ยวกับโรคร่วม 👍","ระดับสาม คิดมากเล็กน้อยเกี่ยวกับการดูแลรักษาค่ะ"
"8. ความวิตกกังวล (Anxiety)",4,"กังวลปานกลาง เริ่มตื่นตระหนกง่าย 😐","ระดับสี่ วิตกกังวลปานกลาง เริ่มตื่นตระหนกง่ายขึ้นค่ะ"
"8. ความวิตกกังวล (Anxiety)",5,"กระสับกระส่ายปานกลาง นอนไม่ค่อยหลับ 😐","ระดับห้า กระสับกระส่ายปานกลาง ทำให้นอนไม่ค่อยหลับค่ะ"
"8. ความวิตกกังวล (Anxiety)",6,"วิตกกังวลมาก ถอนหายใจบ่อย 😐","ระดับหก วิตกกังวลมาก ถอนหายใจบ่อยและใจสั่นค่ะ"
"8. ความวิตกกังวล (Anxiety)",7,"กลัวและกังวลรุนแรง ตื่นตกใจง่าย 😟","ระดับเจ็ด กลัวและกังวลรุนแรง ตื่นตกใจง่ายค่ะ"
"8. ความวิตกกังวล (Anxiety)",8,"กระสับกระส่ายรุนแรงมาก ไม่สามารถสงบใจได้ 😟","ระดับแปด กระสับกระส่ายรุนแรงมาก ไม่สามารถสงบใจได้ค่ะ"
"8. ความวิตกกังวล (Anxiety)",9,"วิตกกังวลรุนแรงแทบทนไม่ไหว หายใจถี่ 🚨","ระดับเก้า วิตกกังวลรุนแรงแทบทนไม่ไหว หายใจถี่เกร็งค่ะ"
"8. ความวิตกกังวล (Anxiety)",10,"วิตกกังวลและหวาดกลัวรุนแรงที่สุด 🚨","ระดับสิบ วิตกกังวลและหวาดกลัวรุนแรงที่สุดค่ะ"
"9. ความรู้สึกสบาย/สุขภาวะโดยรวม (Wellbeing)",0,"รู้สึกสบายดีมาก มีความสุข 😊","ระดับศูนย์ รู้สึกสบายตัวสบายใจดีมาก มีความสุขค่ะ"
"9. ความรู้สึกสบาย/สุขภาวะโดยรวม (Wellbeing)",1,"สบายตัวดี มีความสุขเกือบตลอดวัน 👍","ระดับหนึ่ง สบายตัวดี มีความสุขเกือบตลอดวันค่ะ"
"9. ความรู้สึกสบาย/สุขภาวะโดยรวม (Wellbeing)",2,"สุขภาวะดี ร่างกายผ่อนคลาย 👍","ระดับสอง สุขภาวะดี ร่างกายผ่อนคลายดีค่ะ"
"9. ความรู้สึกสบาย/สุขภาวะโดยรวม (Wellbeing)",3,"รู้สึกรำคาญตัวเล็กน้อย ยังสบายดี 👍","ระดับสาม รู้สึกรำคาญตัวเล็กน้อย แต่ยังสบายดีอยู่ค่ะ"
"9. ความรู้สึกสบาย/สุขภาวะโดยรวม (Wellbeing)",4,"รู้สึกไม่ค่อยสบายตัวปานกลาง 😐","ระดับสี่ รู้สึกไม่ค่อยสบายตัวปานกลางค่ะ"
"9. ความรู้สึกสบาย/สุขภาวะโดยรวม (Wellbeing)",5,"รู้สึกแย่ปานกลาง ไม่ค่อยสบายกายสบายใจ 😐","ระดับห้า รู้สึกแย่ปานกลาง ไม่ค่อยสบายกายและไม่สบายใจค่ะ"
"9. ความรู้สึกสบาย/สุขภาวะโดยรวม (Wellbeing)",6,"ไม่สบายตัวมาก อึดอัดทรมานบางช่วง 😐","ระดับหก ไม่สบายตัวมาก รู้สึกอึดอัดทรมานบางช่วงค่ะ"
"9. ความรู้สึกสบาย/สุขภาวะโดยรวม (Wellbeing)",7,"รู้สึกแย่รุนแรง อ่อนแอลงมาก 😟","ระดับเจ็ด รู้สึกแย่รุนแรง ร่างกายอ่อนแอลงมากค่ะ"
"9. ความรู้สึกสบาย/สุขภาวะโดยรวม (Wellbeing)",8,"สุขภาวะแย่รุนแรงมาก ทรมานกายใจ 😟","ระดับแปด สุขภาวะแย่รุนแรงมาก ทรมานทั้งกายและใจค่ะ"
"9. ความรู้สึกสบาย/สุขภาวะโดยรวม (Wellbeing)",9,"ไม่สบายตัวอย่างรุนแรงแทบทนไม่ไหว 🚨","ระดับเก้า ไม่สบายตัวอย่างรุนแรงแทบทนไม่ไหวค่ะ"
"9. ความรู้สึกสบาย/สุขภาวะโดยรวม (Wellbeing)",10,"รู้สึกแย่และทรมานที่สุดเท่าที่จะเป็นไปได้ 🚨","ระดับสิบ รู้สึกแย่และทรมานที่สุดเท่าที่จะเป็นไปได้ค่ะ"
